原数据,标签
1 给我 退 了。  #,1 退保劝阻
1 我 就 现在 退保 就 退 不 了 呗 啊！  #,1 退保劝阻
1 那 你们 我 退保。  #,1 退保劝阻
1 我 现在 要 退 退 给我 上 了。  #,1 退保劝阻
1 加急 处理 一下 先生 要不 这样 吧 我 不难 为你 能 让 你 把 我 这 两年 交 的 时候 保费 全部 给我 退 了 我 在 你们 公司 买保险 吗？  #,1 退保劝阻
1 哎 你好 我 有 一款 保险 想 着 退保！  #,1 退保劝阻
1 全额 退保。  #,1 退保劝阻
1 给我 弄 成 那 那个 华夏 保险。 我想 请问 一下 如果 我 退 的 话。  #,1 退保劝阻
1 哎 你好 我想 问一下 就是 我 办 的 一些 保险 我 现在 想 退保 过敏 过 犹豫期！  #,1 退保劝阻
1 对 我 就是。 不是 退 了 吗？  #,1 退保劝阻
1 呃 然后 现在 是 这样 子 的 现在 客户 提 出来 先 把 这个 医疗险 的 退 了 然后 保 这个 医保 通 咱 那个 医保 投 像 我 这种 情况 可以 办理 吗？  #,1 退保劝阻
1 就是 怎么会 给我 我 是 我 去年 投保 过 保险 了 我想 我 应该 是？ 我 应该 是 六月 分 五元 时间 退保 了 就 算 一个 算 后 老 是 退给 我的 就 行。 那 他 怎么 提前 这个 就 到 那个 保费 就 钱 就 没 了？  #,1 退保劝阻
1 哎 你好！ 请讲 我 问一下 那个 退保 的 话 城市 是 怎么走 的 呀！  #,1 退保劝阻
1 加急 处理 一下 先生 要不 这样 吧 我 不难 为你 能 让 你 把 我 这 两年 交 的 时候 保费 全部 给我 退 了 我 在 你们 公司 买保险 吗？  #,1 退保劝阻
1 那 你好 我想 问一下 就是 呃 我 有一个 客户 他 那个 有 犹豫期 才有 那个 退保 他 需要 什么 手续 啊！  #,1 退保劝阻
1 我 我 现在 我想 把 它 退掉。  #,1 退保劝阻
1 因为 那个 像 之前 那个 保单 我想 退 百。  #,1 退保劝阻
1 喂 你好。 您好 我 之前 每个月 的 保费 请您 现在 重启 是吧！ 呃  #,1 退保劝阻
1 就是 现在 你 快 要 到 那个 保费 一千二。 但是 由于 我 这个 呃 经济方面 有点 问题， 就 不能 续保 然后 退保 的 话， 嗯 但是 你 之前 的 保单 我 已经 就是， 办 了。  #,1 退保劝阻
1 那 我 我 那个 今天 早上 的 时候 购买 的 时候 才 会 与 那 我 现在 能 犹豫期 退保 重新办 嘛。  #,1 退保劝阻
1 嗯 你好 我跟你 说 一个 保单 合同号 您 给我 算一下 如果 现在 退保 的 话。 呢 能 退 多少钱？ 哦 您 是 投保人 吗！ 是 是。  #,1 退保劝阻
1 嗯 交 二十年 如果 我 要 买 要 打电话 要 买 那， 呃 因为 之前 或者 八年 中途 中断 了 要 退保。  #,1 退保劝阻
1 我 咨询一下 就是 那个， 华夏 这个 常青树 他 那个 买 了 就 好 给我 退保 啊！  #,1 退保劝阻
1 那个 什么 退 百？ 这边 的 话 您 今年 这个 买 了 一只 办 就 不能 记得 你们， 我 给我 赔不了 不找 就是 说 是 前年 的 给我 给我 出钱 的 几点 是吧！ 对。  #,1 退保劝阻
1 你 帮 我 查 下 这个 保单 我 要 退保 八八 零八 幺幺 三 六 稍等。  #,1 退保劝阻
1 您好 八二 六号 之前 很高兴 为 为您服务。 哎 你好 就是 我想 问一下 就是 我 投 的 是 那个 就是 您 那个 大病 医疗 就是 那个！ 七 十种 那种 什么 那种 那种 大 大病 的 那种？ 嗯 那 那个 假如说 就是 说 中间 不 投 了 你 可以 去 去 去 起。 跟 那个 钱 可以 怎么 取回来 呢？ ,1 退保劝阻
1 你好 麻烦 你 帮 我 查一下 我 这份 保单 如果 退保。  #,1 退保劝阻
1 哎 你好 我 那个 上个月 买了一份 常青树 二零一五 版 那 保险 保费 是 五千 一百多 然后 我 现在 想 退保 能 退 能 退 多少钱！  #,1 退保劝阻
1 你好 我想 咨询一下 就是 我 买 的 一个 那个 保险 好像 是 常青树 吧 还是 什么 我 就是 不是很 清楚 但是 买 的 是？ 二十年 的 然后 我 现在 交了 两年 我 就是 不想 再 续保 了 如果 我想 退 的 话 呃 程序 麻烦 麻烦。  #,1 退保劝阻
1 嗯 你好 然后 有个 保险 有个 保单 然后 我想 退 了 怎么 退？  #,1 退保劝阻
1 哎 你好 那个 我想 问一下 我 我想 把 买 产品 我 赎回 怎么办理 啊！  #,1 退保劝阻
1 麻烦 你们 想 问 一个 保险 我想 退 他。  #,1 退保劝阻
1 嗯 就是 想 把 这份 保单 就 退 了。  #,1 退保劝阻
1 我 问一下 那个 如果 退保 要 大概 要 损失 多少钱 交费？  #,1 退保劝阻
1 您 什么 问题？ 嗯 这样 子 的 就是 到期 到期 后 不想 续 了 但是 现在 又 帮 我 扣 得 晒。  #,1 退保劝阻
1 银行 我 这个 保单 哈 到 日子 了 该 交钱 了 嗯 那个 我想 问一下 现在 我 那个 我 我想 把 这个 退 了 他 行 吗？  #,1 退保劝阻
1 我 问一下 就是 如果说 我 中途 退保 大概 扣 多少钱？ 就 比如说 我 打个 比方说 比如说 我 之前 可以 吧 我， 我 我 扣掉 了。  #,1 退保劝阻
1 你好 那个 我想 问一下 就是， 保险 如果 想 退 的 话 能 退出来 多少钱？  #,1 退保劝阻
1 嗯 就是 想 我想 喂 哎 你好 那 想 问一下 哈 因为 我家 里面 出 了 点 情况 我 是 想 把 那个 保单 我 如果 要是 退 的 话 怎么 个 退 法 呀 我 现在 就是 家里面 急 需要 用 钱？  #,1 退保劝阻
1 哦 就是 我 这个 第二年 买 了 那个 那个 昨天 那个 黄 姐 因为 现在 急需 用 钱 我想 把 那个 取出来！  #,1 退保劝阻
1 交 三年 五万 你叫我 我 就 咨询一下 的 那 啥 哎 明天 交 五万 嗯 完了 你 交 三年？ 交 三年 我 可以 那时候 在那 可以 取出来 吧！ 也 不 续保 的 话。  #,1 退保劝阻
1 哎 你好 我想 咨询一下 那个 我的 保单 如果 要是 退保 的 话 能 退 清！  #,1 退保劝阻
1 我 查 一下子 那个 完了 说 的 然后 我 现在 取出来 能 亏 的 话。  #,1 退保劝阻
1 账户 呀 就是 那个 金管家 账户 那个 有 多少钱？ 要是 如果 如果 要是 说 退保 的 话 能 给 多少钱？  #,1 退保劝阻
1 啊 你好 我 在 咱们 这 就是 投 一份 保险 了 现在 是 想 咨询一下 假如说 我 这边 要 做 退保 能 退 多少钱！  #,1 退保劝阻
1 我 要 我 如果 退 保险 的 话 可以 退 多少钱？  #,1 退保劝阻
1 哎 我想 那个 什么 我想 把 我 这个 保险 退 了！  #,1 退保劝阻
1 然后 这个 您 帮 我 查一下 我 现在 就是 想 退。 嗯 然后 您 看 我 现在 能 拿 多少钱 得 存 可以 退 多少钱？  #,1 退保劝阻
1 啊 你好 我 在 咱们 这 就是 投 一份 保险 了 现在 是 想 咨询一下 假如说 我 这边 要 做 退保 能 退 多少钱！  #,1 退保劝阻
1 啊 我 我 在 你们 华安 上 保险 就 投 了 一份 保单 啊 嗯！ 我 我想 退掉 的 话， 他 可不可以 了。  #,1 退保劝阻
1 哎 你好 您 是 想！ 问一下 我 上次 打电话 给我 是 买了一份 那个 那个 在 你们 这个 保险 我 不想买 了 然后 怎么 没 没什么 打电话 给我 问一下 什么 情况？ 嗯。  #,1 退保劝阻
1 嗯 喂 你好 我想。 嗯 就是 退保 应该 怎么办？  #,1 退保劝阻
1 这个 退保 这 一块 我想 那个 问一下 咱们 能 退 多少 啊！ #,1 退保劝阻
1 如果 我 不想 继续 买 这个 保险 呢 可不可以？ #,1 退保劝阻
1 你好 我想 问一下 那个 我 昨天 投 一个 保 但是 我 觉得。 就是 我 现在 想 换一个 保险 然后 他 就 有一个 十天 的 犹豫期 吗？ #,1 退保劝阻
1 说 我 退保 呐。 #,1 退保劝阻
1 嗯 去 也 可以 也 可以 也 可以。 嗯 如果 我 要是 说 不想 保 的 情况 下 我想 退单 的 情况 下 大概 我 我 我 得。 #,1 退保劝阻
