tag,asr_text
确认是否投保人本人,四五八八稍等。为保障客户信息安全需要与您做信息核对您是投保人本人吗？您的名字是。您的身份证号是。
确认是否投保人本人,我的是否您的信息安全需要坐下核对请问您是投保人本人吗？
确认是否投保人本人,稍等。嗯好的先生请问您是投保人本人吗？
确认是否投保人本人,您稍等。请问您是投保人本人吗？
确认是否投保人本人,好的那请您提供一下报案人的信息。您就是王传超先生本人是吗？
确认是否投保人本人,嗯，您是投保人本人吗？
确认是否投保人本人,请问您是投保人吗？
确认是否投保人本人,零幺二六四零二二是吗对对对那请问一下您就是出险人本人是吗？对请问您叫什么名字女生？没挺好的您刚说现在在医院做一个治疗是因为什么原因在医院做的一个住院治疗呢？
确认是否投保人本人,五幺九四，好的请问一下您是投保人本人吗先生嗯？您叫什么名字呢王超好的信息核实成功请稍等？这边看到您这个八月八号和您刚才来电我这边看到之前工作人员帮您反馈这个工单了。
确认是否投保人本人,好的请您是投保人本人吗？
确认是否投保人本人,您好先生请问您是投保人本人吗？
确认是否投保人本人,啊我查下保单您是投保人本人吗！
确认是否投保人本人,请问您是投保人本人吗？对，叫什么名字？
确认是否投保人本人,嗯请问您是投保人本人吗？
确认是否投保人本人,为了保证信息安全请协助身份验证请问您是投保人本人吗？
确认是否投保人本人,您是投保人本人吗？
确认是否投保人本人,好的。嗯稍等嗯。嗯行那您来做一下身份验证先生请问您就是投保人本人是吧！四四四嗯那请问一下您叫什么名字？
确认是否投保人本人,投保人本人吗？
确认是否投保人本人,这个吧！嗯那投保人是您本人吗？嗯就是保的嗯您的身份证号提供一下我查看一下。
确认是否投保人本人,嗯嗯就是。嗯嗯就是您是叫周才觉得是您本人出险了是吗？
确认是否投保人本人,是投保人本人吗？对。哦！
确认是否投保人本人,您好女士那请问您是投保人本人吗？对。
确认是否投保人本人,医保错等待期是三十天的您是投保人本人吗女士？
确认是否投保人本人,女士请问您是从本人是吗？
确认是否投保人本人,您好先生为了维护您的信息安全请您协助完成身份验证请问您是投保人本人吗？是嗯请问您。
确认是否投保人本人,好的请问您是的，好的请问您是投保人本人吗？
确认是否投保人本人,请问您是投保人吗？
确认是否投保人本人,请问您是保单的投保人本人。
确认是否投保人本人,请问您是投保人吗？对，嗯请问叫什么名字邮件？就是您带的交费卡里现在足够的保费是吧！对对对。那你等它自动划款就可以了。
确认是否投保人本人,请问您是投保人吗？是的，请问您的姓名女士。
确认是否投保人本人,四二零幺二幺。一九八三嗯。幺幺幺六嗯，二七二七。请问您是投保人吗？嗯我姓杨呃您叫什么名字锕？行原嗯那想敢身份证，您是想给这个农业银行的卡是吧您有三个人看的话这边可以帮您申请变更？
确认是否投保人本人,好的女士请问您是投保人本人吗？
确认是否投保人本人,您好为了确保您的信息安全这边与您核实一下信息请问您是投保人本人吗是？请问您的姓名是。
确认是否投保人本人,嗯请问您是投保人吗？
确认是否投保人本人,嗯您是投保人是吗？那您说一下您的身份证号码。
确认是否投保人本人,您是投保人嘛。
确认是否投保人本人,嗯那您是投保人吗？呃被保险人的姓名叫什么呀！
确认是否投保人本人,好的为了维护您信息安全请您协助为您身份验证您是投保人本人吗女士？
确认是否投保人本人,六六五七八六。四九懂八八。对吧！幺四零零七八七六。四九零八八是吗啊对对哦稍等一下？嗯查询到了请问您是投保人本人是吗？我是彻底下。嗯您叫什么名字锕？我就处理过啊哦是您跟您爱人购买的是吗？
确认是否投保人本人,嗯请问他是保单号，保单号没有是吗？那您现在来电是他用本人幺三六原电话来电呢？
确认是否投保人本人,嗯感谢您配合请问您是投保人本人吗？
确认是否投保人本人,请稍等。请问您是投保人本人吗对好的好的女士您稍等？您是办理退保的社医保通这个保单嘛对。这边的话我们县公司帮您反馈了先生工作人员告知说跟您联系了跟您联系过吗？
